"filename", "language", "Shell Script", "Dart", "JSON", "YAML", "Markdown", "HTML", "XML", "comment", "blank", "total"
"/Users/soorya/Documents/projects/selvam-broilers/selvam_dashboard/lib/widgets/driver/manage_driver_page.dart", "Dart", 0, 188, 0, 0, 0, 0, 0, 1, 13, 202
"/Users/soorya/Documents/projects/selvam-broilers/selvam_dashboard/lib/widgets/expense_list_widget.dart", "Dart", 0, 388, 0, 0, 0, 0, 0, 2, 14, 404
"/Users/soorya/Documents/projects/selvam-broilers/selvam_dashboard/lib/widgets/farm/create_farm.dart", "Dart", 0, 233, 0, 0, 0, 0, 0, 2, 16, 251
"/Users/soorya/Documents/projects/selvam-broilers/selvam_dashboard/lib/widgets/farm/farm_data_table.dart", "Dart", 0, 339, 0, 0, 0, 0, 0, 0, 24, 363
"/Users/soorya/Documents/projects/selvam-broilers/selvam_dashboard/lib/widgets/farm/farm_detail.dart", "Dart", 0, 123, 0, 0, 0, 0, 0, 1, 8, 132
"/Users/soorya/Documents/projects/selvam-broilers/selvam_dashboard/lib/widgets/farm/manage_farm_page.dart", "Dart", 0, 179, 0, 0, 0, 0, 0, 2, 10, 191
"/Users/soorya/Documents/projects/selvam-broilers/selvam_dashboard/lib/widgets/full_screen_imageviewer.dart", "Dart", 0, 78, 0, 0, 0, 0, 0, 0, 7, 85
"/Users/soorya/Documents/projects/selvam-broilers/selvam_dashboard/lib/widgets/loadman/create_loadman.dart", "Dart", 0, 222, 0, 0, 0, 0, 0, 0, 6, 228
"/Users/soorya/Documents/projects/selvam-broilers/selvam_dashboard/lib/widgets/loadman/edit_loadman.dart", "Dart", 0, 244, 0, 0, 0, 0, 0, 1, 8, 253
"/Users/soorya/Documents/projects/selvam-broilers/selvam_dashboard/lib/widgets/loadman/loadman_data_table.dart", "Dart", 0, 321, 0, 0, 0, 0, 0, 13, 22, 356
"/Users/soorya/Documents/projects/selvam-broilers/selvam_dashboard/lib/widgets/loadman/loadman_details.dart", "Dart", 0, 259, 0, 0, 0, 0, 0, 1, 7, 267
